"_ID","_X","_Y"
1,713325.2514,5108568.0013
1,712677.0014,5109607.2513
1,712615.0014,5109565.0013
1,712511.0014,5109517.0013
1,712471.7514,5109507.5013
1,710803.7514,5109358.7513
1,710151.7514,5109319.5013
1,710068.2514,5109282.5013
1,710058.0014,5109272.5013
1,709661.5014,5108834.5013
1,709574.2514,5108698.0013
1,709318.5014,5108291.0013
1,709232.2514,5108146.5013
1,709152.5014,5108008.5013
1,709074.7514,5107855.5013
1,708436.7514,5108259.0013
1,708413.5014,5108273.5013
1,708166.2514,5108323.5013
1,707945.0014,5108309.0013
1,707909.2514,5108300.5013
1,707876.0014,5108292.0013
1,707852.7514,5108278.0013
1,707684.2514,5108168.5013
1,707658.7514,5108149.0013
1,707555.0014,5108001.0013
1,707505.0014,5107911.0013
1,707450.7514,5107772.0013
1,707444.5014,5107743.5013
1,707435.0014,5107592.0013
1,707429.0014,5107403.0013
1,707529.5014,5106528.5013
1,707585.0014,5106223.5013
1,707846.2514,5105117.5013
1,707855.5014,5105089.5013
1,707943.0014,5104923.0013
1,707946.0014,5104917.2513
1,707954.7514,5104901.7513
1,708147.0014,5104730.5013
1,708323.0014,5104690.0013
1,709242.5014,5103926.0013
1,709265.7514,5103891.0013
1,709278.2514,5103864.5013
1,709474.0014,5102918.2513
1,709461.0014,5102889.5013
1,709447.0014,5102869.5013
1,709436.0014,5102863.7513
1,709400.7514,5102846.0013
1,709309.2514,5102804.5013
1,709272.7514,5102789.0013
1,709250.5014,5102782.0013
1,709071.7514,5102744.5013
1,709048.5014,5102740.0013
1,709031.2514,5102738.5013
1,708000.7514,5102662.5013
1,707786.2514,5102655.5013
1,707713.2514,5102655.0013
1,707693.0014,5102663.5013
1,707524.7514,5102770.0013
1,707418.5014,5102837.0013
1,707408.5014,5102841.5013
1,707393.0014,5102846.0013
1,707337.5014,5102852.0013
1,706444.2514,5101934.0013
1,706433.5014,5101921.0013
1,706428.5014,5101903.5013
1,706395.5014,5101726.7513
1,706400.2514,5101711.0013
1,706431.5014,5101631.5013
1,706889.5014,5101066.5013
1,706890.5014,5101065.2513
1,706914.0014,5101036.5013
1,706952.0014,5100996.2513
1,706984.7514,5100974.7513
1,707173.2514,5100908.5013
1,707195.5014,5100902.0013
1,707485.7514,5100871.5013
1,707507.0014,5100870.0013
1,707544.2514,5100880.0013
1,707580.0014,5100895.0013
1,707618.7514,5100905.7513
1,707638.7514,5100900.7513
1,707645.0014,5100849.0013
1,707645.7514,5100793.5013
1,707645.2514,5100738.0013
1,707644.7514,5100709.5013
1,707594.7514,5100640.0013
1,707563.2514,5100597.5013
1,707550.2514,5100581.5013
1,706939.0014,5099916.5013
1,706914.5014,5099890.0013
1,706756.0014,5099730.0013
1,706743.0014,5099717.5013
1,706696.0014,5099679.0013
1,706656.2514,5099665.2513
1,706503.5014,5099603.7513
1,706876.2514,5099315.7513
1,707157.7514,5098846.7513
1,707339.0014,5098350.0013
1,707477.0014,5098053.0013
1,707692.7514,5097707.0013
1,707733.0014,5097645.0013
1,707991.7514,5097268.0013
1,708118.5014,5097139.2513
1,708125.5014,5097131.5013
1,708127.7514,5097129.0013
1,708158.5014,5097065.0013
1,708417.0014,5096521.5013
1,707992.5014,5095980.5013
1,707870.7514,5095066.0013
1,707992.0014,5094883.5013
1,708139.5014,5094586.7513
1,708156.2514,5094541.0013
1,708174.2514,5094458.0013
1,708166.0014,5094341.0013
1,708164.5014,5094340.7513
1,708066.0014,5094329.0013
1,707974.0014,5094310.0013
1,707971.2514,5094309.0013
1,707873.7514,5094264.2513
1,707853.0014,5094252.0013
1,707684.0014,5094150.0013
1,707548.0014,5094034.0013
1,707425.0014,5093923.0013
1,707299.0014,5093814.0013
1,707209.0014,5093761.0013
1,706802.0014,5093690.0013
1,705866.0014,5093754.0013
1,705764.0014,5093771.0013
1,705671.0014,5093812.0013
1,705585.0014,5093827.0013
1,705099.0014,5093636.0013
1,704552.0014,5093419.0013
1,704432.0014,5093371.0013
1,704281.0014,5093330.0013
1,704028.0014,5093284.0013
1,703688.5014,5093231.0013
1,703893.7514,5094209.0013
1,703130.0014,5094427.0013
1,702954.0014,5094424.0013
1,702221.0014,5094159.0013
1,701342.0014,5094425.0013
1,701064.0014,5094333.0013
1,700877.0014,5094122.0013
1,700557.7514,5094058.2513
1,700472.0014,5094489.5013
1,700242.0014,5095648.5013
1,700240.0014,5095659.0013
1,700039.0014,5096662.0013
1,699994.5014,5096866.0013
1,699842.0014,5097567.0013
1,699620.2514,5098200.2513
1,699225.5014,5098244.0013
1,699017.7514,5098110.5013
1,698922.0014,5098099.5013
1,698830.2514,5098089.0013
1,698814.2514,5098095.0013
1,698496.2514,5098257.5013
1,697679.0014,5098722.0013
1,697069.5014,5098701.5013
1,696671.7514,5098701.5013
1,695693.0014,5098658.0013
1,695618.0014,5098653.0013
1,695376.0014,5098635.0013
1,695119.0014,5098520.0013
1,695082.0014,5098458.0013
1,695051.0014,5098381.0013
1,694963.0014,5098348.0013
1,694613.0014,5098458.0013
1,694505.0014,5098496.7513
1,694449.7514,5098644.7513
1,692952.2514,5098213.7513
1,692836.5014,5098130.0013
1,692789.5014,5098069.5013
1,692757.7514,5098025.0013
1,692747.2514,5098008.5013
1,692508.0014,5097630.0013
1,692401.2514,5097371.0013
1,692381.5014,5097320.5013
1,691197.0014,5096937.0013
1,690906.0014,5096538.5013
1,690752.0014,5096229.0013
1,690184.0014,5095488.0013
1,690140.5014,5095439.5013
1,689607.5014,5095035.2513
1,687722.2514,5094897.5013
1,685998.0014,5094837.0013
1,685531.7514,5094873.5013
1,685502.2514,5094877.0013
1,685477.7514,5094888.0013
1,685421.7514,5094914.5013
1,685379.5014,5094947.2513
1,685360.2514,5094967.2513
1,685359.2514,5094968.5013
1,685355.0014,5094973.0013
1,685354.0014,5094974.0013
1,685338.2514,5094983.5013
1,685280.5014,5095004.0013
1,685004.7514,5095083.0013
1,684283.2514,5095246.5013
1,684262.2514,5095248.5013
1,684226.5014,5095248.0013
1,684201.0014,5095240.5013
1,683988.2514,5095173.5013
1,683961.7514,5095164.5013
1,683941.0014,5095153.5013
1,683913.7514,5095121.0013
1,683913.7514,5095119.2513
1,683908.7514,5095068.0013
1,683906.7514,5095027.0013
1,683878.7514,5094323.0013
1,683871.0014,5094002.5013
1,684199.2514,5092649.0013
1,684367.7514,5092148.5013
1,684385.2514,5092105.0013
1,684488.2514,5091963.7513
1,684790.2514,5091567.7513
1,684728.0014,5091212.7513
1,684620.5014,5090632.5013
1,683824.0014,5090551.5013
1,683770.0014,5090548.5013
1,683622.7514,5090544.5013
1,683570.2514,5090543.5013
1,683494.5014,5090548.0013
1,683417.5014,5090555.2513
1,683344.0014,5090567.7513
1,683279.2514,5090583.5013
1,683132.7514,5090622.0013
1,682875.7514,5090691.0013
1,683037.2514,5090076.5013
1,683086.2514,5089741.0013
1,683089.0014,5089709.0013
1,683088.5014,5089686.5013
1,683084.2514,5089672.0013
1,682888.2514,5089069.7513
1,682851.2514,5089033.5013
1,682843.2514,5089020.5013
1,682837.5014,5089002.5013
1,682829.0014,5088966.5013
1,682827.2514,5088957.5013
1,682825.7514,5088944.0013
1,682826.7514,5088916.5013
1,682828.7514,5088887.0013
1,682829.7514,5088877.5013
1,682833.7514,5088855.0013
1,682856.7514,5088779.5013
1,682876.2514,5088727.0013
1,682884.0014,5088710.0013
1,682898.2514,5088684.0013
1,682917.5014,5088651.0013
1,682918.5014,5088649.2513
1,682575.7514,5088495.5013
1,682526.2514,5088470.5013
1,682148.5014,5088266.5013
1,681956.0014,5088157.5013
1,681922.2514,5088137.5013
1,681996.7514,5087971.5013
1,682025.7514,5087911.0013
1,682044.7514,5087876.5013
1,682074.0014,5087825.5013
1,682163.0014,5087674.5013
1,682210.5014,5087600.0013
1,682245.2514,5087549.5013
1,682285.0014,5087494.5013
1,682335.0014,5087433.0013
1,682336.0014,5087432.0013
1,682383.7514,5087375.0013
1,682357.5014,5087033.0013
1,682356.2514,5087020.0013
1,682291.7514,5086879.0013
1,682099.0014,5086834.0013
1,682044.2514,5086822.5013
1,682000.2514,5086822.5013
1,681539.2514,5087057.5013
1,680329.7514,5087698.0013
1,680316.2514,5087708.2513
1,679843.0014,5088113.5013
1,679649.0014,5088348.5013
1,679480.0014,5088649.5013
1,679369.5014,5088848.0013
1,679412.7514,5089050.7513
1,678560.5014,5088454.7513
1,678702.0014,5087876.5013
1,678732.7514,5087742.2513
1,678664.7514,5087716.2513
1,678493.2514,5087697.2513
1,677178.2514,5087613.0013
1,677019.7514,5087731.7513
1,676519.7514,5087840.2513
1,676455.2514,5087833.5013
1,676245.2514,5087794.5013
1,676191.0014,5087782.0013
1,676174.0014,5087766.5013
1,676166.2514,5087734.5013
1,676162.0014,5087711.5013
1,676164.2514,5087680.5013
1,676174.5014,5087628.0013
1,676184.5014,5087578.2513
1,676203.0014,5087529.7513
1,675200.2514,5087912.7513
1,675433.0014,5087650.0013
