"city","year","one_theaters","two_theaters","operas_city","operas_city_annals","operas_city_amazon","operas_city_met","city1","copyright_post1801","less_1000","more_1000"
"ferrara",1797,0,1,0,0,0,0,5,0,1,0
"ferrara",1798,0,1,0,0,0,0,5,0,1,0
"ferrara",1799,0,1,0,0,0,0,5,0,1,0
"ferrara",1800,0,1,0,0,0,0,5,0,1,0
"ferrara",1801,0,1,0,0,0,0,5,0,1,0
"ferrara",1802,0,1,0,0,0,0,5,0,1,0
"ferrara",1803,0,1,0,0,0,0,5,0,1,0
"ferrara",1804,0,1,0,0,0,0,5,0,1,0
"ferrara",1805,0,1,0,0,0,0,5,0,1,0
"ferrara",1806,0,1,0,0,0,0,5,0,1,0
"ferrara",1807,0,1,0,0,0,0,5,0,1,0
"ferrara",1808,0,1,0,0,0,0,5,0,1,0
"ferrara",1809,0,1,0,0,0,0,5,0,1,0
"ferrara",1810,0,1,0,0,0,0,5,0,1,0
"ferrara",1811,0,1,0,0,0,0,5,0,1,0
"ferrara",1812,0,1,0,0,0,0,5,0,1,0
"ferrara",1813,0,1,0,0,0,0,5,0,1,0
"ferrara",1814,0,1,0,0,0,0,5,0,1,0
"ferrara",1815,0,1,0,0,0,0,5,0,1,0
"ferrara",1816,0,1,0,0,0,0,5,0,1,0
"ferrara",1817,0,1,0,0,0,0,5,0,1,0
"ferrara",1818,0,1,0,0,0,0,5,0,1,0
"ferrara",1819,0,1,0,0,0,0,5,0,1,0
"ferrara",1820,0,1,1,0,0,0,5,0,1,0
"florence",1781,0,1,1,0,0,0,6,0,0,1
"florence",1782,0,1,1,0,0,0,6,0,0,1
"florence",1783,0,1,1,0,0,0,6,0,0,1
"florence",1784,0,1,1,0,0,0,6,0,0,1
"florence",1785,0,1,1,0,0,0,6,0,0,1
"florence",1786,0,1,1,0,0,0,6,0,0,1
"florence",1787,0,1,1,0,0,0,6,0,0,1
"florence",1788,0,1,0,0,0,0,6,0,0,1
"florence",1789,0,1,1,0,0,0,6,0,0,1
"florence",1790,0,1,1,0,0,0,6,0,0,1
"florence",1791,0,1,0,0,0,0,6,0,0,1
"florence",1792,0,1,1,0,0,0,6,0,0,1
"florence",1793,0,1,1,1,0,1,6,0,0,1
"florence",1794,0,1,1,0,0,0,6,0,0,1
"florence",1795,0,1,1,1,0,0,6,0,0,1
"florence",1796,0,1,1,0,0,0,6,0,0,1
"florence",1797,0,1,1,0,0,0,6,0,0,1
"florence",1798,0,1,1,0,0,0,6,0,0,1
"florence",1799,0,1,1,0,0,0,6,0,0,1
"florence",1800,0,1,1,0,0,0,6,0,0,1
"florence",1801,0,1,2,0,0,0,6,0,0,1
"florence",1802,0,1,2,0,0,0,6,0,0,1
"florence",1803,0,1,1,0,0,0,6,0,0,1
"florence",1804,0,1,2,0,0,0,6,0,0,1
"florence",1805,0,1,1,0,0,0,6,0,0,1
"florence",1806,0,1,1,0,0,0,6,0,0,1
"florence",1807,0,1,1,0,0,0,6,0,0,1
"florence",1808,0,1,2,0,0,0,6,0,0,1
"florence",1809,0,1,2,0,0,0,6,0,0,1
"florence",1810,0,1,2,0,0,0,6,0,0,1
"florence",1811,0,1,1,0,0,0,6,0,0,1
"florence",1812,0,1,1,0,0,0,6,0,0,1
"florence",1813,0,1,1,0,0,0,6,0,0,1
"florence",1814,0,1,1,0,0,0,6,0,0,1
"florence",1815,0,1,1,0,0,0,6,0,0,1
"florence",1816,0,1,1,0,0,0,6,0,0,1
"florence",1817,0,1,1,0,0,0,6,0,0,1
"florence",1818,0,1,1,0,0,0,6,0,0,1
"florence",1819,0,1,1,0,0,0,6,0,0,1
"florence",1820,0,1,1,0,0,0,6,0,0,1
"genoa",1781,1,0,0,0,0,0,7,0,0,1
"genoa",1782,1,0,0,0,0,0,7,0,0,1
"genoa",1783,1,0,0,0,0,0,7,0,0,1
"genoa",1784,1,0,0,0,0,0,7,0,0,1
"genoa",1785,1,0,0,0,0,0,7,0,0,1
"genoa",1786,1,0,0,0,0,0,7,0,0,1
"genoa",1787,1,0,0,0,0,0,7,0,0,1
"genoa",1788,1,0,0,0,0,0,7,0,0,1
"genoa",1789,1,0,0,0,0,0,7,0,0,1
"genoa",1790,1,0,0,0,0,0,7,0,0,1
"genoa",1791,1,0,0,0,0,0,7,0,0,1
"genoa",1792,1,0,0,0,0,0,7,0,0,1
"genoa",1793,1,0,0,0,0,0,7,0,0,1
"genoa",1794,1,0,0,0,0,0,7,0,0,1
"genoa",1795,1,0,0,0,0,0,7,0,0,1
"genoa",1796,1,0,0,0,0,0,7,0,0,1
"genoa",1797,1,0,1,0,0,0,7,0,0,1
"genoa",1798,1,0,0,0,0,0,7,0,0,1
"genoa",1799,1,0,0,0,0,0,7,0,0,1
"genoa",1800,1,0,0,0,0,0,7,0,0,1
"genoa",1801,1,0,0,0,0,0,7,0,0,1
