"state","year","operas","operas_annals","operas_amazon","operas_met","copyright_post1801","state1","basic_copyright","extend_life30","extend_life40"
"d_parma",1799,1,0,0,0,0,2,0,0,0
"d_parma",1800,2,0,0,0,0,2,0,0,0
"d_parma",1801,1,0,0,0,0,2,0,0,0
"d_parma",1802,1,0,0,0,0,2,0,0,0
"d_parma",1803,1,0,0,0,0,2,0,0,0
"d_parma",1804,1,0,0,0,0,2,0,0,0
"d_parma",1805,1,0,0,0,0,2,0,0,0
"d_parma",1806,1,0,0,0,0,2,0,0,0
"d_parma",1807,1,0,0,0,0,2,0,0,0
"d_parma",1808,1,0,0,0,0,2,0,0,0
"d_parma",1809,1,0,0,0,0,2,0,0,0
"d_parma",1810,1,0,0,0,0,2,0,0,0
"d_parma",1811,1,0,0,0,0,2,0,0,0
"d_parma",1812,1,0,0,0,0,2,0,0,0
"d_parma",1813,1,0,0,0,0,2,0,0,0
"d_parma",1814,1,0,0,0,0,2,0,0,0
"d_parma",1815,1,0,0,0,0,2,0,0,0
"d_parma",1816,1,0,0,0,0,2,0,0,0
"d_parma",1817,1,0,0,0,0,2,0,0,0
"d_parma",1818,1,0,0,0,0,2,0,0,0
"d_parma",1819,1,0,0,0,0,2,0,0,0
"d_parma",1820,1,0,0,0,0,2,0,0,0
"d_parma",1821,0,0,0,0,NA,2,0,0,0
"d_parma",1822,0,0,0,0,NA,2,0,0,0
"d_parma",1823,0,0,0,0,NA,2,0,0,0
"d_parma",1824,2,0,0,0,NA,2,0,0,0
"d_parma",1825,0,0,0,0,NA,2,0,0,0
"d_parma",1826,0,0,0,0,NA,2,0,0,0
"d_parma",1827,0,0,0,0,NA,2,0,0,0
"d_parma",1828,0,0,0,0,NA,2,0,0,0
"d_parma",1829,2,0,1,1,NA,2,0,0,0
"d_parma",1830,0,0,0,0,NA,2,0,0,0
"d_parma",1831,1,0,0,0,NA,2,0,0,0
"d_parma",1832,0,0,0,0,NA,2,0,0,0
"d_parma",1833,0,0,0,0,NA,2,0,0,0
"d_parma",1834,1,0,0,0,NA,2,0,0,0
"d_parma",1835,0,0,0,0,NA,2,0,0,0
"d_parma",1836,0,0,0,0,NA,2,0,0,0
"d_parma",1837,0,0,0,0,NA,2,0,0,0
"d_parma",1838,1,1,0,0,NA,2,0,0,0
"d_parma",1839,0,0,0,0,NA,2,0,0,0
"d_parma",1840,1,0,0,0,NA,2,1,1,0
"d_parma",1841,0,0,0,0,NA,2,1,1,0
"d_parma",1842,0,0,0,0,NA,2,1,1,0
"d_parma",1843,2,0,0,0,NA,2,1,1,0
"d_parma",1844,0,0,0,0,NA,2,1,1,0
"d_parma",1845,0,0,0,0,NA,2,1,1,0
"d_parma",1846,0,0,0,0,NA,2,1,1,0
"d_parma",1847,0,0,0,0,NA,2,1,1,0
"d_parma",1848,0,0,0,0,NA,2,1,1,0
"d_parma",1849,0,0,0,0,NA,2,1,1,0
"d_parma",1850,0,0,0,0,NA,2,1,1,0
"d_parma",1851,2,1,0,0,NA,2,1,1,0
"d_parma",1852,1,0,0,0,NA,2,1,1,0
"d_parma",1853,1,0,0,0,NA,2,1,1,0
"d_parma",1854,0,0,0,0,NA,2,1,1,0
"d_parma",1855,2,0,0,0,NA,2,1,1,0
"d_parma",1856,0,0,0,0,NA,2,1,1,0
"d_parma",1857,0,0,0,0,NA,2,1,1,0
