"state","year","d_modena","d_parma","gd_tuscany","lombardy","sardinia","venetia","two_sicilies","papal_state","migrant_composers"
"lombardy",1793,0,0,0,0,0,0,0,0,1
"lombardy",1794,0,0,0,0,0,0,0,0,2
"lombardy",1795,0,0,0,0,0,0,0,0,NA
"lombardy",1796,0,0,0,0,0,0,0,0,1
"lombardy",1797,0,0,0,0,0,0,0,0,1
"lombardy",1798,0,0,0,0,0,0,0,0,1
"lombardy",1799,0,0,0,0,0,0,0,0,1
"lombardy",1800,0,0,0,0,0,0,0,0,1
"lombardy",1801,0,0,0,0,0,0,0,0,2
"lombardy",1802,0,0,0,0,0,0,0,0,2
"lombardy",1803,0,0,0,0,0,0,0,0,2
"lombardy",1804,0,0,0,0,0,0,0,0,2
"lombardy",1805,0,0,0,0,0,0,0,0,3
"lombardy",1806,0,0,0,0,0,0,0,0,2
"lombardy",1807,0,0,0,0,0,0,0,0,3
"lombardy",1808,0,0,0,0,0,0,0,0,2
"lombardy",1809,0,0,0,0,0,0,0,0,3
"lombardy",1810,0,0,0,0,0,0,0,0,3
"lombardy",1811,0,0,0,0,0,0,0,0,3
"lombardy",1812,0,0,0,0,0,0,0,0,3
"lombardy",1813,0,0,0,0,0,0,0,0,2
"lombardy",1814,0,0,0,0,0,0,0,0,1
"lombardy",1815,0,0,0,0,0,0,0,0,2
"lombardy",1816,0,0,0,0,0,0,0,0,3
"lombardy",1817,0,0,0,0,0,0,0,0,2
"lombardy",1818,0,0,0,0,0,0,0,0,1
"lombardy",1819,0,0,0,0,0,0,0,0,1
"lombardy",1820,0,0,0,0,0,0,0,0,2
"papal_state",1781,0,0,0,0,0,0,0,0,NA
"papal_state",1782,0,0,0,0,0,0,0,0,NA
"papal_state",1783,0,0,0,0,0,0,0,0,NA
"papal_state",1784,0,0,0,0,0,0,0,0,NA
"papal_state",1785,0,0,0,0,0,0,0,0,NA
"papal_state",1786,0,0,0,0,0,0,0,0,NA
"papal_state",1787,0,0,0,0,0,0,1,0,1
"papal_state",1788,0,0,0,0,0,0,0,0,NA
"papal_state",1789,0,0,0,0,0,0,0,0,NA
"papal_state",1790,0,0,0,0,0,0,0,0,NA
"papal_state",1791,0,0,0,0,0,0,0,0,1
"papal_state",1792,0,0,0,0,0,0,0,0,NA
"papal_state",1793,0,0,0,0,0,0,0,0,NA
"papal_state",1794,0,0,0,0,0,0,0,0,NA
"papal_state",1795,0,0,0,0,0,0,0,0,NA
"papal_state",1796,0,0,0,0,0,0,0,0,NA
"papal_state",1797,0,0,0,0,0,0,0,0,NA
"papal_state",1798,0,0,0,0,0,0,0,0,NA
"papal_state",1799,0,0,0,0,0,0,0,0,NA
"papal_state",1800,0,0,0,0,0,0,0,0,NA
"papal_state",1801,0,0,0,0,0,0,0,0,NA
"papal_state",1802,0,0,0,0,0,0,0,0,NA
"papal_state",1803,0,0,0,0,0,0,0,0,NA
"papal_state",1804,0,0,0,0,0,0,0,0,NA
"papal_state",1805,0,0,0,0,0,0,0,0,NA
"papal_state",1806,0,0,0,0,0,0,0,0,NA
"papal_state",1807,0,0,0,0,0,0,1,0,1
"papal_state",1808,0,0,0,0,0,0,0,0,NA
"papal_state",1809,0,0,0,0,0,0,0,0,NA
"papal_state",1810,0,0,0,0,0,0,1,0,1
"papal_state",1811,0,0,0,0,0,0,0,0,NA
"papal_state",1812,0,0,0,0,0,0,0,0,NA
"papal_state",1813,0,0,0,0,1,0,0,0,1
"papal_state",1814,0,0,0,0,0,0,0,0,NA
"papal_state",1815,0,0,0,0,0,0,0,0,NA
"papal_state",1816,0,0,1,0,0,0,0,0,1
"papal_state",1817,0,0,1,0,0,0,0,0,NA
"papal_state",1818,0,0,0,0,0,0,0,0,1
"papal_state",1819,0,0,0,0,0,0,0,0,NA
"papal_state",1820,0,0,0,0,0,0,0,0,NA
"sardinia",1781,0,0,0,0,0,0,0,0,NA
"sardinia",1782,0,0,0,0,0,0,0,0,NA
"sardinia",1783,0,0,0,0,0,0,0,0,NA
"sardinia",1784,0,0,0,0,0,0,0,0,NA
"sardinia",1785,0,0,0,0,0,0,0,0,NA
"sardinia",1786,0,0,0,0,0,0,0,0,NA
"sardinia",1787,0,0,0,0,0,0,0,0,NA
"sardinia",1788,0,0,0,0,0,0,0,0,NA
"sardinia",1789,0,0,0,0,0,0,0,0,NA
"sardinia",1790,0,0,0,0,0,0,0,0,NA
"sardinia",1791,0,0,0,0,0,0,0,0,NA
"sardinia",1792,0,0,0,0,0,0,0,0,NA
"sardinia",1793,0,0,0,0,0,0,0,0,NA
"sardinia",1794,0,0,0,0,0,0,0,0,NA
"sardinia",1795,0,0,0,0,0,0,0,0,NA
"sardinia",1796,0,0,0,0,0,0,0,0,NA
"sardinia",1797,0,0,0,0,0,0,0,0,NA
"sardinia",1798,0,0,0,0,0,0,0,0,NA
"sardinia",1799,0,0,0,0,0,0,0,0,NA
"sardinia",1800,0,0,0,0,0,0,0,0,NA
"sardinia",1801,0,0,0,0,0,0,0,0,NA
"sardinia",1802,0,0,0,0,0,0,0,0,NA
"sardinia",1803,0,0,0,0,0,0,0,0,NA
"sardinia",1804,0,0,0,0,0,0,0,0,NA
"sardinia",1805,0,0,0,0,0,0,0,0,NA
"sardinia",1806,0,0,0,0,0,0,0,0,NA
"sardinia",1807,0,0,0,0,0,0,0,0,NA
"sardinia",1808,0,0,0,0,0,0,0,0,NA
"sardinia",1809,0,0,0,0,0,0,0,0,NA
"sardinia",1810,0,0,0,0,0,0,0,0,NA
"sardinia",1811,0,0,1,0,0,0,0,0,1
"sardinia",1812,0,0,0,0,0,0,0,0,NA
"sardinia",1813,0,0,0,0,0,0,0,0,NA
"sardinia",1814,0,0,0,0,0,0,0,0,1
"sardinia",1815,0,0,0,0,0,0,0,0,NA
"sardinia",1816,0,0,0,0,0,0,0,0,NA
"sardinia",1817,0,0,0,0,0,0,0,0,NA
"sardinia",1818,0,0,0,0,0,0,1,0,1
"sardinia",1819,0,0,0,0,0,0,0,0,NA
"sardinia",1820,0,0,0,0,0,0,0,0,NA
"two_sicilies",1781,0,0,0,0,0,0,0,0,NA
"two_sicilies",1782,0,0,0,0,0,0,0,0,NA
"two_sicilies",1783,0,0,0,0,0,0,0,0,1
"two_sicilies",1784,0,0,0,0,0,0,0,0,NA
"two_sicilies",1785,0,0,0,0,0,0,0,0,1
"two_sicilies",1786,0,0,0,0,0,0,0,0,NA
"two_sicilies",1787,0,0,0,0,1,0,0,0,1
"two_sicilies",1788,0,0,0,0,0,0,0,0,NA
"two_sicilies",1789,0,0,0,0,0,0,0,0,NA
"two_sicilies",1790,0,0,0,0,0,0,0,0,NA
"two_sicilies",1791,0,0,0,0,0,0,0,0,NA
"two_sicilies",1792,0,0,0,0,0,0,0,0,NA
"two_sicilies",1793,0,0,0,0,0,0,0,0,NA
"two_sicilies",1794,0,0,0,0,0,0,0,0,NA
"two_sicilies",1795,0,0,0,0,0,0,0,0,NA
"two_sicilies",1796,0,0,0,0,0,0,0,0,NA
"two_sicilies",1797,0,0,0,0,0,0,0,0,NA
"two_sicilies",1798,0,0,0,0,0,0,0,0,NA
"two_sicilies",1799,0,0,0,0,0,0,0,0,NA
"two_sicilies",1800,0,0,0,0,0,0,0,0,NA
"two_sicilies",1801,0,0,0,0,0,0,0,0,NA
"two_sicilies",1802,0,0,0,0,1,0,0,0,1
"two_sicilies",1803,0,0,0,0,0,0,0,0,NA
"two_sicilies",1804,0,0,0,0,0,0,0,0,1
"two_sicilies",1805,0,0,0,0,0,0,0,0,NA
"two_sicilies",1806,0,0,0,0,0,0,0,0,NA
"two_sicilies",1807,0,0,0,0,1,0,0,0,1
"two_sicilies",1808,0,0,0,0,0,0,0,0,NA
"two_sicilies",1809,0,0,0,0,0,0,0,0,NA
"two_sicilies",1810,1,0,0,0,0,0,0,0,1
"two_sicilies",1811,0,0,0,0,0,0,0,0,NA
"two_sicilies",1812,0,0,1,0,0,0,0,0,1
"two_sicilies",1813,0,1,0,0,0,0,0,0,1
"two_sicilies",1814,0,0,0,0,0,0,0,1,1
"two_sicilies",1815,0,0,0,0,0,0,0,0,NA
"two_sicilies",1816,0,0,0,0,0,0,0,1,1
"two_sicilies",1817,0,0,0,0,0,0,0,0,NA
"two_sicilies",1818,0,0,0,0,0,0,0,0,NA
"two_sicilies",1819,0,0,0,0,0,0,0,0,1
"two_sicilies",1820,0,0,0,0,0,0,0,0,NA
"venetia",1781,0,0,0,0,0,0,0,0,NA
"venetia",1782,0,0,0,0,0,0,0,0,1
"venetia",1783,0,0,0,0,0,0,0,0,NA
"venetia",1784,0,0,0,0,0,0,0,0,1
"venetia",1785,0,0,0,0,0,0,0,0,NA
"venetia",1786,0,0,0,0,0,0,0,0,1
"venetia",1787,0,0,0,0,0,0,0,0,NA
"venetia",1788,0,0,0,0,0,0,0,0,1
"venetia",1789,0,0,0,0,0,0,0,0,NA
"venetia",1790,0,0,0,0,0,0,0,0,1
"venetia",1791,0,0,0,0,0,0,0,0,NA
"venetia",1792,0,0,0,0,0,0,0,0,NA
"venetia",1793,0,0,0,0,0,0,0,0,1
"venetia",1794,0,0,0,0,0,0,0,0,NA
"venetia",1795,0,0,0,0,0,0,0,0,1
"venetia",1796,0,0,0,0,0,0,0,0,1
"venetia",1797,0,0,0,0,0,0,0,0,NA
"venetia",1798,0,0,0,0,0,0,0,0,1
"venetia",1799,0,0,0,0,0,0,0,0,1
"venetia",1800,0,0,0,0,0,0,0,0,NA
"venetia",1801,0,0,0,0,0,0,0,0,1
"venetia",1802,0,0,0,0,0,0,0,0,2
"venetia",1803,0,0,0,0,0,0,0,0,1
"venetia",1804,0,0,0,0,0,0,0,0,2
"venetia",1805,0,0,0,0,0,0,0,0,1
"venetia",1806,0,0,0,0,0,0,0,0,2
"venetia",1807,0,0,0,0,0,0,0,0,1
"venetia",1808,0,0,0,0,0,0,0,0,2
"venetia",1809,0,0,0,0,0,0,0,0,2
"venetia",1810,0,0,0,0,0,0,0,0,2
"venetia",1811,0,0,0,0,0,0,0,0,2
"venetia",1812,0,0,0,0,0,0,0,0,2
"venetia",1813,0,0,0,0,0,0,0,0,2
"venetia",1814,0,0,0,0,0,0,0,0,2
"venetia",1815,0,0,0,0,0,0,0,0,2
"venetia",1816,0,0,0,0,0,0,0,0,2
"venetia",1817,0,0,0,0,0,0,0,0,1
"venetia",1818,0,0,0,0,0,0,0,0,2
"venetia",1819,0,0,0,0,0,0,0,0,1
"venetia",1820,0,0,0,0,0,0,0,0,2
