"composer_id","state1","year","post1801","copyright","copyright_post1801","returning_copyright_post1801","stayers_copyright_post1801","tot_operas","ret_france_austria","comp_operas","annals","met","amazon","returning","stayers"
13,7,1787,0,0,0,0,0,53,1,1,0,0,0,1,0
13,5,1802,1,0,0,0,0,53,1,1,0,0,0,1,0
13,7,1784,0,0,0,0,0,53,1,1,0,0,0,1,0
13,4,1813,1,1,1,1,0,53,1,9,6,0,6,1,0
13,5,1783,0,0,0,0,0,53,0,1,0,0,0,1,0
13,7,1786,0,0,0,0,0,53,1,4,0,0,0,1,0
13,6,1784,0,0,0,0,0,53,1,1,0,0,0,1,0
13,7,1798,0,0,0,0,0,53,1,1,0,0,0,1,0
14,3,1819,1,0,0,0,0,24,1,1,0,0,0,0,0
14,8,1814,1,1,1,0,0,24,1,2,0,0,0,0,0
14,8,1799,0,1,0,0,0,24,1,1,0,0,0,0,0
14,6,1818,1,0,0,0,0,24,1,1,0,0,0,0,0
14,5,1809,1,0,0,0,0,24,0,1,0,0,0,0,0
14,5,1808,1,0,0,0,0,24,1,1,0,0,0,0,0
14,8,1810,1,1,1,0,0,24,1,1,0,0,1,0,0
14,8,1817,1,1,1,0,0,24,1,1,0,0,0,0,0
14,6,1817,1,0,0,0,0,24,1,1,0,0,0,0,0
14,5,1816,1,0,0,0,0,24,1,2,0,0,0,0,0
14,5,1810,1,0,0,0,0,24,1,1,1,1,0,0,0
14,5,1811,1,0,0,0,0,24,1,1,0,0,0,0,0
14,6,1815,1,0,0,0,0,24,1,1,0,0,0,0,0
14,5,1817,1,0,0,0,0,24,1,1,0,0,1,0,0
14,8,1812,1,1,1,0,0,24,1,2,0,0,0,0,0
14,8,1816,1,1,1,0,0,24,1,1,0,0,0,0,0
14,8,1815,1,1,1,0,0,24,1,4,2,2,2,0,0
14,3,1809,1,0,0,0,0,24,1,1,0,0,0,0,0
15,7,1820,1,0,0,0,0,2,1,1,0,0,0,0,0
15,7,1819,1,0,0,0,0,2,1,1,0,0,0,0,0
16,7,1816,1,0,0,0,0,1,1,1,0,0,0,0,0
17,5,1818,1,0,0,0,0,9,1,1,0,0,0,0,0
17,7,1819,1,0,0,0,0,9,1,1,0,0,0,0,0
17,7,1815,1,0,0,0,0,9,1,1,0,0,0,0,0
17,5,1819,1,0,0,0,0,9,1,1,0,0,0,0,0
17,8,1805,1,1,1,0,0,9,1,1,0,0,0,0,0
17,7,1809,1,0,0,0,0,9,1,1,0,0,0,0,0
17,7,1814,1,0,0,0,0,9,1,1,0,0,0,0,0
17,7,1813,1,0,0,0,0,9,1,1,0,0,0,0,0
17,7,1807,1,0,0,0,0,9,1,1,0,0,0,0,0
18,3,1799,0,0,0,0,0,1,0,1,0,0,0,0,0
19,5,1819,1,0,0,0,0,2,1,1,0,0,0,0,0
19,4,1820,1,1,1,0,0,2,1,1,0,0,1,0,0
20,8,1792,0,1,0,0,0,33,1,2,0,0,0,0,0
20,7,1806,1,0,0,0,0,33,1,1,0,0,0,0,0
20,8,1795,0,1,0,0,0,33,1,2,0,0,0,0,1
20,8,1804,1,1,1,0,0,33,1,3,2,2,0,0,0
20,8,1794,0,1,0,0,0,33,1,1,0,0,0,0,0
20,8,1797,0,1,0,0,0,33,1,2,0,0,0,0,0
20,4,1796,0,1,0,0,0,33,1,1,0,0,0,0,0
20,6,1815,1,0,0,0,0,33,1,1,0,0,0,0,0
20,6,1798,0,0,0,0,0,33,1,1,0,0,0,0,0
20,8,1819,1,1,1,0,0,33,1,1,0,0,0,0,0
20,8,1796,0,1,0,0,0,33,1,1,0,0,0,0,0
20,8,1788,0,1,0,0,0,33,1,1,1,1,0,0,0
20,8,1793,0,1,0,0,0,33,1,6,0,0,0,0,0
20,8,1791,0,1,0,0,0,33,1,3,0,0,0,0,0
20,6,1816,1,0,0,0,0,33,1,1,0,0,0,0,0
20,8,1816,1,1,1,0,0,33,1,1,1,1,1,0,0
20,8,1790,0,1,0,0,0,33,1,3,0,0,0,0,0
21,4,1804,1,1,1,1,0,24,1,7,0,0,0,1,0
21,5,1809,1,0,0,0,0,24,0,1,0,0,0,1,0
21,4,1803,1,1,1,1,0,24,1,4,0,0,0,1,0
21,6,1805,1,0,0,0,0,24,1,1,0,0,0,1,0
21,7,1794,0,0,0,0,0,24,1,1,0,0,0,1,0
21,4,1802,1,1,1,1,0,24,1,7,3,3,0,1,0
21,6,1808,1,0,0,0,0,24,1,1,0,0,0,1,0
21,5,1798,0,0,0,0,0,24,0,1,0,0,0,1,0
21,4,1799,0,1,0,0,0,24,1,1,0,0,0,1,0
21,4,1805,1,1,1,1,0,24,1,7,6,3,6,1,0
22,4,1793,0,1,0,0,0,1,1,1,0,0,0,1,0
23,3,1810,1,0,0,0,0,3,1,1,0,0,0,0,0
23,5,1808,1,0,0,0,0,3,1,1,0,0,0,0,0
23,2,1809,1,0,0,0,0,3,1,1,0,0,0,0,0
24,7,1819,1,0,0,0,0,1,1,1,0,0,0,0,0
25,1,1820,1,0,0,0,0,1,0,1,0,0,0,0,0
26,8,1804,1,1,1,0,0,36,1,2,0,0,0,0,0
26,5,1816,1,0,0,0,0,36,1,1,0,0,0,0,0
26,4,1817,1,1,1,0,0,36,1,1,0,0,0,0,0
26,7,1813,1,0,0,0,0,36,1,2,0,0,0,0,0
