"state","state1","year","copyright","post1801","copyright_post1801","operas","operas_annals","operas_met","operas_amazon","operas_lascala","operas_paris","operas_vienna","operas_buenos_aires","operas_no_milan","opera_nomi_nove","operas_novenice","linear_pretrend","pretrend_modena","pretrend_parma","pretrend_tuscany","pretrend_lombardy","pretrend_papal_state","pretrend_sardinia","pretrend_sicily","pretrend_venetia","cluster"
"d_parma",2,1805,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"sardinia",6,1801,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12
"sardinia",6,1817,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,12
"papal_state",5,1784,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,9
"papal_state",5,1783,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,0,0,0,9
"sardinia",6,1814,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12
"gd_tuscany",3,1805,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"sardinia",6,1819,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12
"sardinia",6,1790,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,10,0,0,11
"two_sicilies",7,1808,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,14
"papal_state",5,1798,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,18,0,0,0,9
"two_sicilies",7,1814,0,1,0,7,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,14
"two_sicilies",7,1787,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,7,0,13
"d_modena",1,1790,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,10,0,0,0,0,0,0,0,1
"d_parma",2,1806,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
"sardinia",6,1782,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,11
"d_parma",2,1785,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,0,3
"d_modena",1,1800,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,20,0,0,0,0,0,0,0,1
"papal_state",5,1805,0,1,0,2,1,1,0,1,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,10
"gd_tuscany",3,1792,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,12,0,0,0,0,0,5
"gd_tuscany",3,1818,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,6
"d_parma",2,1792,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,12,0,0,0,0,0,0,3
"papal_state",5,1796,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,16,0,0,0,9
"d_modena",1,1813,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
"gd_tuscany",3,1804,0,1,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,6
"d_modena",1,1793,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,13,0,0,0,0,0,0,0,1
"d_parma",2,1820,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4
